release_path,role,upstream_artifact,upstream_sha256,release_sha256,bytes
data/derived/external_2025_M0_M2_regional_improvement_counts.csv,derived_external_regional_summary,stage34C3b7b15h2br_external_2025_repaired_m0_m2_score_OUTPUT_v18c_r5/EXTERNAL_2025_REPAIRED_M0_M2_REGIONAL_IMPROVEMENT_COUNTS.csv,3178666fa8a148a5d467e034d04bd7674524bd61e709cc0bfd0a46c1d483c6fc,3178666fa8a148a5d467e034d04bd7674524bd61e709cc0bfd0a46c1d483c6fc,168
data/derived/external_2025_M0_M2_observation_losses.parquet,derived_external_loss_panel,stage34C3b7b15h2br_external_2025_repaired_m0_m2_score_OUTPUT_v18c_r5/EXTERNAL_2025_REPAIRED_M0_M2_OBSERVATION_LOSSES.parquet,f8bafaf70108595c2b8bffb9dd204698aad88623a0d8a2f84717370fd79c64d9,f8bafaf70108595c2b8bffb9dd204698aad88623a0d8a2f84717370fd79c64d9,601245
data/derived/external_2025_M0_M2_daily_paired_losses.csv,derived_external_daily_loss_panel,stage34C3b7b15h2br_external_2025_repaired_m0_m2_score_OUTPUT_v18c_r5/EXTERNAL_2025_REPAIRED_M0_M2_DAILY_PAIRED_LOSSES.csv,10b79a70d71df9dd0d97e655f5d551b034d00c5625f850e0b64f7e16ff748bde,10b79a70d71df9dd0d97e655f5d551b034d00c5625f850e0b64f7e16ff748bde,129223
data/derived/external_2025_M0_M2_bootstrap_CI95.csv,derived_bootstrap_CI,stage34C3b7b15h2br_external_2025_m0_m2_block_bootstrap_OUTPUT_v18c_r6/EXTERNAL_2025_M0_M2_BLOCK_BOOTSTRAP_CI95.csv,319f57e85229f819e010fa7759a00a8a953f948409fdbb75eb8e97d5589ccc73,319f57e85229f819e010fa7759a00a8a953f948409fdbb75eb8e97d5589ccc73,1579
data/derived/external_2025_M0_M2_bootstrap_comparison_summary.csv,derived_bootstrap_summary,stage34C3b7b15h2br_external_2025_m0_m2_block_bootstrap_OUTPUT_v18c_r6/EXTERNAL_2025_M0_M2_BLOCK_BOOTSTRAP_COMPARISON_SUMMARY.csv,ab913f4369698d69080f9b483b546513ef11dc96180603fe779504d9859437aa,ab913f4369698d69080f9b483b546513ef11dc96180603fe779504d9859437aa,236
data/derived/external_2025_M0_M2_final_comparison_summary.csv,frozen_final_external_summary,stage34C3b7b15h2br_external_2025_m0_m2_final_interpretation_freeze_OUTPUT_v18c_r7_r2/FROZEN_EXTERNAL_2025_M0_M2_FINAL_COMPARISON_SUMMARY.csv,fc86c6f2532d57c77ff99cbd1e6f75328beb5e82ef5fd750326ed3036312073f,fc86c6f2532d57c77ff99cbd1e6f75328beb5e82ef5fd750326ed3036312073f,1026
audit/FROZEN_EXTERNAL_2025_M0_M2_INTERPRETATION.json,frozen_external_interpretation,stage34C3b7b15h2br_external_2025_m0_m2_final_interpretation_freeze_OUTPUT_v18c_r7_r2/FROZEN_EXTERNAL_2025_M0_M2_INTERPRETATION.json,2c1be0346c0298ecce1703bfbd13ec9c12496de26cc3412d8317191d7aac432e,2c1be0346c0298ecce1703bfbd13ec9c12496de26cc3412d8317191d7aac432e,1218
audit/R10_R7_FULL_HISTORY_REPAIR_PASS.json,upstream_pass_summary,stage34C3b7b15h2br_prospective_full_history_repair_fit_OUTPUT_v18c_r4_r10_r7/B7B15H2BR_V18C_R4_R10_R7_SUMMARY.json,5b740aff2fd55da2c1c0dbbf4c694a374eb5dcc4fcaf2738286e4741ae7613f5,5b740aff2fd55da2c1c0dbbf4c694a374eb5dcc4fcaf2738286e4741ae7613f5,3085
audit/R5_EXTERNAL_SCORE_PASS.json,upstream_pass_summary,stage34C3b7b15h2br_external_2025_repaired_m0_m2_score_OUTPUT_v18c_r5/B7B15H2BR_V18C_R5_SUMMARY.json,c75fe08f66b1c5e3f44414bbd3b44c584407a0e4617039afdd0a921293173397,c75fe08f66b1c5e3f44414bbd3b44c584407a0e4617039afdd0a921293173397,3334
audit/R6_BLOCK_BOOTSTRAP_PASS.json,upstream_pass_summary,stage34C3b7b15h2br_external_2025_m0_m2_block_bootstrap_OUTPUT_v18c_r6/B7B15H2BR_V18C_R6_SUMMARY.json,9352dce8a21ab7fbbd1c24aa0cf236c2f5a78d13cfcc0909fa00fba9ec181eac,9352dce8a21ab7fbbd1c24aa0cf236c2f5a78d13cfcc0909fa00fba9ec181eac,6112
audit/R7_R2_FINAL_INTERPRETATION_PASS.json,upstream_pass_summary,stage34C3b7b15h2br_external_2025_m0_m2_final_interpretation_freeze_OUTPUT_v18c_r7_r2/B7B15H2BR_V18C_R7_R2_SUMMARY.json,21bd1a36ff19fab9d3462c6ed83f94e89d3b3081dcfc119beb312e44e47e4ed0,21bd1a36ff19fab9d3462c6ed83f94e89d3b3081dcfc119beb312e44e47e4ed0,900
data/external_2025/environmental_design_2025.parquet,external_health_blind_design,STAGE34C3B7B15H2BR_REBUILD_AND_FREEZE_2025_M0_M2_33_HEALTH_BLIND_PREDICTORS_V14I/FROZEN_2025_M0_M2_33_HEALTH_BLIND_PREDICTORS.parquet,c7eeb40c525fea922ca3162208a37f6ef66a3a85e3d014fc767761e4883edf88,673217e5a3d2ae68dcc59620a68528c8361d318ee2f9daa656c8a2616051ccc4,761769
data/external_2025/environmental_design_2025.csv.gz,external_health_blind_design_accessible_copy,STAGE34C3B7B15H2BR_REBUILD_AND_FREEZE_2025_M0_M2_33_HEALTH_BLIND_PREDICTORS_V14I/FROZEN_2025_M0_M2_33_HEALTH_BLIND_PREDICTORS.parquet,c7eeb40c525fea922ca3162208a37f6ef66a3a85e3d014fc767761e4883edf88,4682ff455511c74eeea25615c53e14fdd83eb38f5e7ee8a2d91832a51c86f453,765381
data/external_2025/population_exposure_2025.parquet,external_population,STAGE34C3B7B15H2BR_FINAL_PREUNSEAL_MODEL_AND_M3_SEQUENTIAL_FREEZE_V15E/FROZEN_2025_DAILY_EXPOSURE_POPULATION_4015.parquet,461a8d82d90fb6ff800232ccb352a2f72fb32253a8d187e49b796341dfaf40df,ae3bd760293650bc959bbfd29e6952b3d59f9083e095b8253142d1c072a144cd,7122
data/external_2025/sadu_urgent_respiratory_2025.parquet,external_aggregate_health_outcome,stage34C3b7b15h2br_sadu_2025_source_truth_canonicalization_OUTPUT_v18b_r10/FROZEN_CANONICAL_2025_urgent_respiratory_total.csv,1a29fd3ca1860d711f55038a2d07ce8898de603e39ed06a4591b1de14f10bdf6,a8c84723203a6669d6369f5e935040c16dcc62f5f9d826b65060b732944d8e3e,19504
data/external_2025/sadu_urgent_respiratory_2025.csv.gz,external_aggregate_health_outcome_accessible_copy,stage34C3b7b15h2br_sadu_2025_source_truth_canonicalization_OUTPUT_v18b_r10/FROZEN_CANONICAL_2025_urgent_respiratory_total.csv,1a29fd3ca1860d711f55038a2d07ce8898de603e39ed06a4591b1de14f10bdf6,8e115df2206d697ae8d02783f2d60c74c47499ede4817b96fe114bc0475473eb,17487
code/frozen_pipeline_reference/h2br_v18c_r4_r10_r7_repair_fit.py,frozen_pipeline_reference_code,STAGE34C3B7B15H2BR_PROSPECTIVE_FULL_HISTORY_REPAIR_FIT_V18C_R4_R10_R7/h2br_v18c_r4_r10_r7_repair_fit.py,1af5f54bdc29fbea02ec09e748a3974e69f04f515c49f74c137d0a71c1667a45,1af5f54bdc29fbea02ec09e748a3974e69f04f515c49f74c137d0a71c1667a45,20793
code/frozen_pipeline_reference/h2br_v18c_r5_external_score.py,frozen_pipeline_reference_code,STAGE34C3B7B15H2BR_EXTERNAL_2025_REPAIRED_M0_M2_SCORE_V18C_R5/h2br_v18c_r5_external_score.py,4d348669f5985e856c94c76f6b8815ef897e7f77b12d95ca546bfb64aec930df,4d348669f5985e856c94c76f6b8815ef897e7f77b12d95ca546bfb64aec930df,16687
code/frozen_pipeline_reference/h2br_v18c_r6_block_bootstrap.py,frozen_pipeline_reference_code,STAGE34C3B7B15H2BR_EXTERNAL_2025_M0_M2_BLOCK_BOOTSTRAP_V18C_R6/h2br_v18c_r6_block_bootstrap.py,128bc6d9a8414af8dde3dd1ca61e4baf3c1745ebe99848e45e15ba661f35ced7,128bc6d9a8414af8dde3dd1ca61e4baf3c1745ebe99848e45e15ba661f35ced7,14036
code/frozen_pipeline_reference/h2br_v18c_r7_r2_final_freeze.py,frozen_pipeline_reference_code,STAGE34C3B7B15H2BR_EXTERNAL_2025_M0_M2_FINAL_INTERPRETATION_FREEZE_V18C_R7_R2/h2br_v18c_r7_r2_final_freeze.py,87da25a7aa7745ef178ccd082077af8c769f26abf31c75b3de6f22205706b493,87da25a7aa7745ef178ccd082077af8c769f26abf31c75b3de6f22205706b493,15764
